0, 2200, -300, 1300
3.5443553924560547, 709, 732, 1612, 426
3.554353952407837, 714, 741, 1628, 444
3.5713558197021484, 714, 741, 1628, 444
3.5883634090423584, 719, 750, 1655, 436
3.6113522052764893, 719, 750, 1655, 436
3.6223514080047607, 723, 755, 1670, 439
3.639350414276123, 723, 755, 1670, 439
3.65635085105896, 727, 757, 1676, 417
3.6793549060821533, 727, 757, 1676, 417
3.690387487411499, 730, 757, 1666, 472
3.7074403762817383, 730, 757, 1666, 472
3.7243547439575195, 734, 756, 1660, 456
3.7463557720184326, 734, 756, 1660, 456
3.7573885917663574, 736, 753, 1652, 449
3.7744839191436768, 736, 753, 1652, 449
3.792351245880127, 736, 751, 1639, 451
3.8153605461120605, 736, 751, 1639, 451
3.8254284858703613, 736, 743, 1632, 426
3.8423523902893066, 736, 743, 1632, 426
3.859393358230591, 736, 743, 1632, 426
3.8833560943603516, 736, 743, 1632, 426
3.893498182296753, 736, 743, 1632, 426
3.911353588104248, 734, 730, 1656, 343
3.928417444229126, 734, 730, 1656, 343
3.9453847408294678, 734, 730, 1656, 343
3.9623520374298096, 734, 730, 1656, 343
3.9794204235076904, 732, 710, 1567, 403
3.9964187145233154, 732, 710, 1567, 403
4.013411283493042, 732, 710, 1567, 403
4.0303635597229, 732, 710, 1567, 403
4.047492504119873, 728, 680, 1478, 326
4.06536078453064, 724, 665, 1437, 290
4.091357231140137, 724, 665, 1437, 290
4.0993523597717285, 724, 638, 1396, 253
4.11635422706604, 724, 638, 1396, 253
4.1393585205078125, 720, 613, 1306, 203
4.150352954864502, 720, 613, 1306, 203
4.1673619747161865, 718, 586, 1280, 239
4.184356451034546, 718, 586, 1280, 239
4.208351135253906, 696, 570, 1234, 232
4.218382835388184, 696, 570, 1234, 232
4.2353551387786865, 686, 540, 1185, 216
4.252352237701416, 686, 540, 1185, 216
4.2773566246032715, 680, 508, 1142, 212
4.286351442337036, 680, 508, 1142, 212
4.303353786468506, 686, 465, 1105, 221
4.32039213180542, 686, 465, 1105, 221
4.33737325668335, 686, 465, 1105, 221
4.354353427886963, 686, 465, 1105, 221
4.371354579925537, 682, 279, 1043, 230
4.388355493545532, 682, 279, 1043, 230
4.412355661392212, 714, 230, 1016, 239
4.422354698181152, 839, 212, 1005, 244
4.439350605010986, 839, 212, 1005, 244
4.456351041793823, 835, 212, 987, 235
4.484354257583618, 835, 212, 987, 235
4.490352392196655, 1038, 382, 974, 232
4.507381916046143, 1038, 382, 974, 232
4.524351119995117, 1031, 384, 956, 244
4.555356740951538, 1022, 372, 948, 235
4.558356046676636, 1022, 372, 948, 235
4.575352907180786, 1022, 372, 948, 235
4.592381715774536, 1011, 364, 941, 230
4.619354963302612, 1011, 364, 941, 230
4.626355886459351, 1004, 364, 932, 222
4.643404245376587, 1004, 364, 932, 222
4.6603569984436035, 996, 363, 923, 215
4.691356658935547, 835, 391, 912, 213
4.69636607170105, 835, 391, 912, 213
4.712355613708496, 835, 391, 912, 213
4.738355398178101, 835, 389, 889, 229
4.7463600635528564, 835, 389, 889, 229
4.76336407661438, 831, 390, 875, 231
4.780378103256226, 831, 390, 875, 231
4.804353713989258, 827, 394, 870, 230
4.814353704452515, 827, 394, 870, 230
4.831367254257202, 820, 398, 862, 226
4.848353385925293, 820, 398, 862, 226
4.8713555335998535, 812, 395, 848, 225
4.8824005126953125, 812, 395, 848, 225
4.899363279342651, 793, 408, 828, 230
4.916406869888306, 793, 408, 828, 230
4.939384698867798, 793, 408, 828, 230
4.954353094100952, 793, 408, 828, 230
4.971354722976685, 876, 221, 788, 245
4.988352060317993, 876, 221, 788, 245
